variable;smd_avant;smd_apres;categorie_avant;smd_avant_abs;smd_apres_abs;gain_equilibre
matri_chef_2 Marié(e) (monogame);-0,528674692604992;1,204965344766871;Préoccupant (≥0.25);0,5287;1,2049653448;-0,6763
"educ_chef_2 = niveau primaire ;";-0,20722058082880343;0,45571723367126415;Modéré (0.10-0.25);0,2072;0,4557172337;-0,2485
"educ_chef_3 = niveau secondaire ;";-0,17387095071937791;0,3141632523071294;Modéré (0.10-0.25);0,1739;0,3141632523;-0,1403
"educ_chef_6 = école coranique ;";-0,10538986361495767;0,5508091842475604;Modéré (0.10-0.25);0,1054;0,5508091842;-0,4454
educ_chef_8=autre niveau;-0,07930515857181442;;Équilibré (<0.10);0,0793;;
sexe_chef_Homme;0,0;-1,1363377145199174;Équilibré (<0.10);0,0;1,1363377145;-1,1363
"educ_chef_4 = niveau supérieur ;";0,0;0,19580753363285763;Équilibré (<0.10);0,0;0,1958075336;-0,1958
ethnie_chef_3. Poular;0,045835076732069165;0,11233175018734136;Équilibré (<0.10);0,0458;0,1123317502;-0,0665
dependency_ratio;0,0737317729613393;0,22345305259386652;Équilibré (<0.10);0,0737;0,2234530526;-0,1498
"educ_chef_7= école enseignement technique et professionnelle ;";0,07930515857181442;0,07930515857181442;Équilibré (<0.10);0,0793;0,0793051586;-0,0
matri_chef_88 Ne sait pas;0,07930515857181442;0,07930515857181442;Équilibré (<0.10);0,0793;0,0793051586;-0,0
matri_chef_4 Union libre;0,07930515857181442;0,07930515857181442;Équilibré (<0.10);0,0793;0,0793051586;-0,0
matri_chef_3 Marié(e) (polygame);0,09603548916185847;-2,3954115774224;Équilibré (<0.10);0,096;2,3954115774;-2,2994
ethnie_chef_5. Diola;0,11233175018734134;0,11233175018734134;Modéré (0.10-0.25);0,1123;0,1123317502;-0,0
educ_chef_5 = arabisant,;0,1470837846844677;0,7912799876907682;Modéré (0.10-0.25);0,1471;0,7912799877;-0,6442
matri_chef_6 Séparé/divorcé;0,1519002505790918;0,2915095757711306;Modéré (0.10-0.25);0,1519;0,2915095758;-0,1396
educ_chef_1= alphabétisé,;0,2793355264681821;0,3355616195796305;Préoccupant (≥0.25);0,2793;0,3355616196;-0,0563
age_chef;0,3630191198511296;0,3018030860597329;Préoccupant (≥0.25);0,363;0,3018030861;0,0612
matri_chef_5 Veuf/veuve;0,5478073900039027;0,8186298640989027;Préoccupant (≥0.25);0,5478;0,8186298641;-0,2708
taille_menage;0,9007809278930732;-1,1704158114659806;Préoccupant (≥0.25);0,9008;1,1704158115;-0,2696
