question;question_court;outcome;label_outcome;n_obs;mean_C;mean_T;naive_est;naive_se;ols_est;ols_se;ols_lo;ols_hi;eb_est;eb_se;aipw_est;aipw_se;significatif;direction;effet_pct
Q1 — Autonomisation des femmes;Q1 — Femmes;n04_a_any;Femme propriétaire de terres;495;0,10121457489878542;0,1693548387096774;0,06814026381089199;0,030280212083154557;0,07052267394615175;0,03746009654512618;-0,0028991152822955557;0,14394446317459905;0,1693548387096774;0,3212383368704041;0,059583212531046544;0,03828029939295988;0;Non sig.;69,7
Q1 — Autonomisation des femmes;Q1 — Femmes;n04_b_any;Femme propriétaire de bétail;495;0,0931174089068826;0,21774193548387097;0,12462452657698837;0,03148547928866595;0,11042067173770992;0,041240529929205245;0,029589233076467644;0,19125211039895218;0,21774193548387097;0,2555438809781512;0,1264740166733825;0,0387850062516025;1;Positif sig.;118,6
Q1 — Autonomisation des femmes;Q1 — Femmes;n04_c_any;Femme propriétaire de biens durables;495;0,5182186234817814;0,6491935483870968;0,13097492490531537;0,03865072081262921;0,12937506779570002;0,04977049768093911;0,03182489234105937;0,22692524325034066;0,6491935483870968;0,4909378810845761;0,12876450903648262;0,05464549146207441;1;Positif sig.;25,0
Q1 — Autonomisation des femmes;Q1 — Femmes;n04_d_any;Femme propriétaire d'équipements;495;0,012145748987854251;0,03225806451612903;0,02011231552827478;0,012882469641325093;0,03077797821749515;0,019683170478106013;-0,007801035919592636;0,06935699235458294;0,03225806451612903;0,12188456434551281;0,019962835869399207;0,021960599380538473;0;Non sig.;253,4
Q1 — Autonomisation des femmes;Q1 — Femmes;n11_femme;Femme décide des facteurs de production;495;0,012145748987854251;0,10080645161290322;0,08866070262504896;0,018626931988902234;0,09730381502138927;0,023249142258779085;0,05173549619418226;0,14287213384859626;0,10080645161290322;0,07319638482348813;0,0830729115748724;0,020303876463496077;1;Positif sig.;801,1
Q1 — Autonomisation des femmes;Q1 — Femmes;n13_femme;Femme décide scolarité enfants;495;0,048582995951417005;0,3225806451612903;0,2739976492098733;0,03485889296970826;0,2500305634006631;0,04211929048491571;0,16747675405022833;0,33258437275109787;0,3225806451612903;0,2990968708673187;0,2480356572599658;0,04298483327315843;1;Positif sig.;514,6
Q1 — Autonomisation des femmes;Q1 — Femmes;n15_femme;Femme décide santé enfants;495;0,05263157894736842;0,3346774193548387;0,28204584040747027;0,03359591831093574;0,263252668859182;0,04295714094288813;0,1790566726111213;0,34744866510724276;0,3346774193548387;0,3061893642660921;0,2540111727042814;0,04249216976428208;1;Positif sig.;500,2
Q1 — Autonomisation des femmes;Q1 — Femmes;n17_femme_pouvoir_revenu;Femme a pouvoir sur le revenu;495;0,42105263157894735;0,5645161290322581;0,14346349745331077;0,04341883417356955;0,18346063678361132;0,051904284717263015;0,08172823873777582;0,2851930348294468;0,5645161290322581;0,4621277255581668;0,19046170758939074;0,050713081981597;1;Positif sig.;43,6
Q1 — Autonomisation des femmes;Q1 — Femmes;score_autonomie_depenses;Score autonomie dépenses (0-9);495;6,681511470985156;5,11989247311828;-1,5616189978668764;0,24166305974639535;-1,4730256456754776;0,3212373252002432;-2,102650803067954;-0,843400488283001;1,1198924731182798;2,286107984359379;-1,343026675600452;0,32059099295569127;1;Négatif sig.;-22,0
Q2 — Revenus / pêche;Q2 — Revenus;revenu_total_2023;Revenu total ménage 2023 (FCFA);636;1008142,7389937107;6335962,688679245;5327819,949685534;1736006,8926108822;3106338,658426457;1829711,3867390237;-479895,65958202956;6692572,976434944;5260962,688679245;2023352,84519341;3651972,9638077314;1192489,7882298552;0;Non sig.;308,1
Q2 — Revenus / pêche;Q2 — Revenus;n_activites;Nombre d'activités génératrices;636;20,0;20,0;0,0;0,0;-1,3100631690576847e-14;9,188894953096992e-15;-3,1110865798646953e-14;4,909602417493256e-15;0,0;4,318410795584959e-16;-1,2867283770674645e-13;7,258310115327636e-14;0;Non sig.;-0,0
Q2 — Revenus / pêche;Q2 — Revenus;pratique_peche;Pratique la pêche;636;0,4716981132075472;0,5094339622641509;0,037735849056603765;0,04328416134677908;-0,008680393690107705;0,04694179928813318;-0,10068632029484874;0,08332553291463334;0,5094339622641509;0,49880149238980803;-0,041003289884041;0,05200662899239555;0;Non sig.;-1,8
Q2 — Revenus / pêche;Q2 — Revenus;e01;Production halieutique (kg);312;7631,92;2108,6975308641977;-5523,222469135802;3105,3535197869533;-5420,5978216923095;4489,75465320772;-14220,51694197944;3379,321298594822;1308,6975308641977;50471,18307539264;-5988,564060342443;7393,024964417546;0;Non sig.;-71,0
Q2 — Revenus / pêche;Q2 — Revenus;e03;Quantité vendue (kg);312;1049,0533333333333;2919,7901234567903;1870,736790123457;2454,400463343912;1649,6700933301229;3354,63043098614;-4925,405551402711;8224,745738062957;2269,7901234567903;3086,683440505817;1463,9989749560948;2292,129971207823;0;Non sig.;157,3
Q2 — Revenus / pêche;Q2 — Revenus;e05;Quantité transformée (kg);312;17,85333333333333;426,05555555555554;408,2022222222222;337,2739804436073;554,7915885020861;477,02424914638516;-380,1759398248288;1489,759116829001;426,05555555555554;338,9270065251716;419,7374460657152;418,1141083184735;0;Non sig.;3107,5
Q2 — Revenus / pêche;Q2 — Revenus;e11;Dispose d'un contrat de vente;312;0,7;0,1728395061728395;-0,5271604938271605;0,05119034861817943;-0,4871451421850165;0,06238816878945456;-0,6094259530123474;-0,36486433135768553;-0,8271604938271605;0,45231419297934383;-0,4713974868133977;0,06905518314641339;1;Négatif sig.;-69,6
Q2 — Revenus / pêche;Q2 — Revenus;e16;Diversification depuis 2021;312;0,38;0,29012345679012347;-0,08987654320987654;0,04892708522563351;-0,06017908507163672;0,06013535834864033;-0,17804438743497175;0,05768621729169833;0,29012345679012347;0,46087628375771356;-0,08155692329948697;0,06650973889453296;0;Non sig.;-15,8
Q2 — Revenus / pêche;Q2 — Revenus;e18_1;Pratique le séchage;312;0,32666666666666666;0,5370370370370371;0,21037037037037043;0,05259518114438698;0,255756387998166;0,0625341375246463;0,1331894784498593;0,37832329754647276;0,5370370370370371;0,4613030828546208;0,22560860661395246;0,06481999752693064;1;Positif sig.;78,3
Q2 — Revenus / pêche;Q2 — Revenus;e18_2;Pratique le fumage;312;0,06666666666666667;0,2654320987654321;0,19876543209876546;0,042798005607719;0,17266448701502335;0,04487737937223081;0,08470482344545097;0,26062415058459576;0,2654320987654321;0,2720349958166465;0,1720707375277353;0,047267181666726;1;Positif sig.;259,0
Q3 — Soudure / dépenses;Q3 — Sécurité alim.;mois_soudure_2023;Mois de soudure 2023;636;1,779874213836478;1,2106918238993711;-0,5691823899371069;0,10171019436516666;-0,4857099562266237;0,14447635566851347;-0,7688836133369101;-0,2025362991163373;-0,7893081761006289;1,336528617464729;-0,5167521560966756;0,1481514859007836;1;Négatif sig.;-27,3
Q3 — Soudure / dépenses;Q3 — Sécurité alim.;depense_totale;Dépenses totales ménage (FCFA);636;708741,5660377359;1476710,6949685535;767969,1289308176;132964,5851399687;610292,642212582;179944,6472277218;257601,13364624733;962984,1507789168;464710,6949685535;579150,8985762718;622967,7727996004;176600,74503837383;1;Positif sig.;86,1
