variable;contrôle;traités;label_variable;diff_brute
taille_menage;7,578616352201258;11,666666666666666;taille_menage;4,0881
age_chef;54,223270440251575;62,757861635220124;age_chef;8,5346
dependency_ratio;0,6224874662374662;0,6788087552169129;dependency_ratio;0,0563
nb_membres_observes;7,578616352201258;11,666666666666666;nb_membres_observes;4,0881
n04_a_any;0,10121457489878542;0,1693548387096774;Femme propriétaire de terres;0,0681
n04_b_any;0,0931174089068826;0,21774193548387097;Femme propriétaire de bétail;0,1246
n04_c_any;0,5182186234817814;0,6491935483870968;Femme propriétaire de biens durables;0,131
n04_d_any;0,012145748987854251;0,03225806451612903;Femme propriétaire d'équipements;0,0201
n11_femme;0,012145748987854251;0,10080645161290322;Femme décide des facteurs de production;0,0887
n13_femme;0,048582995951417005;0,3225806451612903;Femme décide scolarité enfants;0,274
n15_femme;0,05263157894736842;0,3346774193548387;Femme décide santé enfants;0,282
n17_femme_pouvoir_revenu;0,42105263157894735;0,5645161290322581;Femme a pouvoir sur le revenu;0,1435
score_autonomie_depenses;6,681511470985155;5,11989247311828;Score autonomie dépenses (0-9);-1,5616
nb_femmes_repondantes;0,9874213836477987;1,1540880503144655;nb_femmes_repondantes;0,1667
revenu_total_2023;1008142,7389937107;6335962,688679245;Revenu total ménage 2023 (FCFA);5327819,9497
n_activites;20,0;20,0;Nombre d'activités génératrices;0,0
pratique_peche;0,4716981132075472;0,5094339622641509;Pratique la pêche;0,0377
e01;7631,92;2108,6975308641977;Production halieutique (kg);-5523,2225
e02;2265,8933333333334;25,08641975308642;e02;-2240,8069
e03;1049,0533333333333;2919,7901234567903;Quantité vendue (kg);1870,7368
e04;3,0933333333333333;88,03086419753086;e04;84,9375
e05;17,85333333333333;426,05555555555554;Quantité transformée (kg);408,2022
e11;0,7;0,1728395061728395;Dispose d'un contrat de vente;-0,5272
e16;0,38;0,29012345679012347;Diversification depuis 2021;-0,0899
e18_1;0,32666666666666666;0,5370370370370371;Pratique le séchage;0,2104
e18_2;0,06666666666666667;0,2654320987654321;Pratique le fumage;0,1988
mois_soudure_2023;1,779874213836478;1,2106918238993711;Mois de soudure 2023;-0,5692
depense_totale;708741,5660377359;1476710,6949685535;Dépenses totales ménage (FCFA);767969,1289
n_categories_depense;14,0;14,0;Nb catégories de dépenses;0,0
k01_1;0,3742138364779874;0,5786163522012578;Diversification des activités;0,2044
k01_2;0,27044025157232704;0,5754716981132075;Nouvelles méthodes de pêche;0,305
k01_3;0,25471698113207547;0,5283018867924528;Gestion des déchets;0,2736
k04;0,7515723270440252;0,9433962264150944;Zones protégées dans la localité;0,1918
score_adaptation;0,89937106918239;1,6823899371069182;Score d'adaptation climatique (0-3);0,783
